.\data\inat_birds\2\164ca1bd1567fcfe746781a59d5f8ba0.jpg, 2
.\data\inat_birds\116\30e9b912c4902f222549b2d39e9c8cb4.jpg, 116
.\data\inat_birds\24\86834e4d881f77fc6e2fdffc0ee4316e.jpg, 24
.\data\inat_birds\3\aee00e6104d3508de8d8ef75c8984314.jpg, 3
.\data\inat_birds\3\0918d849572be05784186b937c83e5b6.jpg, 3
.\data\inat_birds\118\a3dc34164485c45865c4d8bf10ecf95a.jpg, 118
.\data\inat_birds\50\a255c5551c76474d251cd94eda459540.jpg, 50
.\data\inat_birds\64\ecdda8ecfd4300e93a29b58711c0a410.jpg, 64
.\data\inat_birds\102\f73a49e38cccd43af45fb9ed890fdec8.jpg, 102
.\data\inat_birds\66\0950637d4123d54542e125ffaa2c9e66.jpg, 66
.\data\inat_birds\117\55b2478e56dfefc2d3811faf6cbf9ac1.jpg, 117
.\data\inat_birds\21\69960ad33534fcf5de280f1393eb2d32.jpg, 21
.\data\inat_birds\44\66fa3e0bc4ae7626b81e751b5e914395.jpg, 44
.\data\inat_birds\66\c2870cf6d0997f11d68f2d056c521db4.jpg, 66
.\data\inat_birds\19\1ac3034ff00134ff5d367325d1505524.jpg, 19
.\data\inat_birds\20\83068154b4d94cf38ad96c4d5385ff3f.jpg, 20
.\data\inat_birds\30\78c3168275c4796073f1451bde50fc87.jpg, 30
.\data\inat_birds\19\f2a4abf677bf15a9dcaf477efc1c38ab.jpg, 19
.\data\inat_birds\63\3e3de2ff64f400372d1ae0a8ed96ff53.jpg, 63
.\data\inat_birds\74\bbbf9e860952ca662c7bc8534d6b75f6.jpg, 74
.\data\inat_birds\0\b7c9f0aa2d35044487f242dc5029636f.jpg, 0
.\data\inat_birds\104\26269943c96ed55f39d145557072f304.jpg, 104
.\data\inat_birds\118\5199ba1e143984f8e5c04c2086a6c58f.jpg, 118
.\data\inat_birds\82\1b1b6c15877d1d16bea13e1dd00f74a8.jpg, 82
.\data\inat_birds\44\7a60d7de3b36bfa9564a6fc8ed594258.jpg, 44
.\data\inat_birds\99\43d14a1662c21cdfb92f4d0fd2171ef3.jpg, 99
.\data\inat_birds\123\b94e5dff158b73529ccdefebe1f116fd.jpg, 123
.\data\inat_birds\89\546e0d0214b23998e53497b9ed98d2b6.jpg, 89
.\data\inat_birds\76\83fa753de62f5513b81fed6b8908ff7d.jpg, 76
.\data\inat_birds\29\89736d492c293dbb1bff943ae82d10c0.jpg, 29
.\data\inat_birds\24\c6f4daeea917eed9cf8f252b97c0cbe6.jpg, 24
.\data\inat_birds\111\6f8ea2f2d50a4bade22136f6d3aa47c3.jpg, 111
.\data\inat_birds\12\95d59527b5d1f9ef334dcedb253df71e.jpg, 12
.\data\inat_birds\118\336d84adcde4c774fcc10e2f5f9454a5.jpg, 118
.\data\inat_birds\123\4bfc531f26f66abf233aeb40f7135a91.jpg, 123
.\data\inat_birds\95\b12f4db5850c31e6a586bbc3a69e820f.jpg, 95
.\data\inat_birds\81\d151990e2b9d7142c16791d9823c4c88.jpg, 81
.\data\inat_birds\36\c41d95ca97794ad97c3ca0dc633c3876.jpg, 36
.\data\inat_birds\3\5edd15d9c9beae89467b7684822582bf.jpg, 3
.\data\inat_birds\124\9ec54e465fb14386eb92f7b44484af3e.jpg, 124
.\data\inat_birds\52\e009d20dd6deb928329fc8b8b8132efa.jpg, 52
.\data\inat_birds\33\ed3dcc8e003821350a27de524077b054.jpg, 33
.\data\inat_birds\24\5a0d57b39909ad4cbec31490a36d21eb.jpg, 24
.\data\inat_birds\110\8e6fbecdad562839b08092fcb26c12b3.jpg, 110
.\data\inat_birds\79\d5a4ebba9c0f9228f070517bc187300a.jpg, 79
.\data\inat_birds\84\9656fa294d89d9647ed4bfdeb5d590d6.jpg, 84
.\data\inat_birds\101\c6ab3fd887f200604173d095cf61eba9.jpg, 101
.\data\inat_birds\118\e36b1bd4de49263b6c6a76b488daa4b3.jpg, 118
.\data\inat_birds\33\007baf890ed8f6245897226fb5bee787.jpg, 33
.\data\inat_birds\119\781e0753392dc298a7dd2db80601095a.jpg, 119
.\data\inat_birds\70\3a346eed6ecea7d2d74f5ae8b818d096.jpg, 70
.\data\inat_birds\45\1bffd8f6eab237258fdc573a08e01a4c.jpg, 45
.\data\inat_birds\125\e6b9c233ebb6cd023fdfedc98ce31f9f.jpg, 125
.\data\inat_birds\99\6abe8054a9490ff612820cdbe40223f4.jpg, 99
.\data\inat_birds\79\40412c5c0e9118c46c6427bbf7785212.jpg, 79
.\data\inat_birds\101\80c42f95e24228039fe04a128ffd1297.jpg, 101
.\data\inat_birds\94\d921cdf6251efeb0204786f3fd9acdf7.jpg, 94
.\data\inat_birds\57\1a42852ffe5260f578c52edd11595983.jpg, 57
.\data\inat_birds\33\4bb75b31542109b580605177a920c230.jpg, 33
.\data\inat_birds\65\820a47537eaf9394995755289665f3a3.jpg, 65
.\data\inat_birds\45\025837cab551bb7b2d03f717aea8798c.jpg, 45
